Year,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Spt.,Oct.,Nov.,Dec.,Annual
1980,13,6,6,0,381,269,206,101,,210,0,0,
1981,30,81,64,360,323,223,478,211,423,0,0,48,2241
1982,0,8,81,133,144,227,201,205,155,31,67,1,1253
1983,15,45,54,,368,153,296,277,210,157,,22,
1984,11,,0,101,191,450,316,,272,,0,0,
1985,2,0,,35,155,,220,182,221,132,0,0,
1986,3,10,5,53,,138,,198,438,165,29,0,
1987,2,0,25,61,133,,413,643,243,19,3,9,
1988,0,32,65,30,313,313,292,187,159,82,73,2,1548
1989,0,41,1,0,236,65,608,109,174,85,0,3,1322
1990,0,70,128,157,207,277,422,235,481,88,34,0,2099
1991,2,9,28,42,173,360,248,189,424,141,2,79,1697
1992,0,40,0,18,132,73,252,207,295,38,5,3,1063
1993,2,6,53,120,213,299,248,189,358,102,22,0,1612
1994,24,45,3,31,155,336,111,150,99,80,2,0,1036
1995,8,24,20,1,105,215,224,307,345,8,70,3,1330
1996,0,25,17,104,81,295,155,271,269,183,0,0,1400
1997,4,43,42,110,132,199,486,301,473,53,15,20,1878
1998,16,12,68,109,269,101,413,225,285,96,42,0,1636
1999,0,0,0,2,203,386,407,249,297,205,3,0,1752
2000,8,61,20,206,233,212,241,147,551,129,0,0,1808
2001,0,0,20,52,257,409,165,158,334,74,10,0,1479
2002,15,2,62,72,177,296,253,227,240,75,47,0,1466
2003,0,24,73,89,58,353,134,87,145,134,0,5,1102
2004,0,0,0,127,125,292,397,156,541,151,0,0,1789
2005,14,3,75,13,89,199,378,246,137,664,0,1,1819
2006,0,0,2,74,213,199,233,244,277,4,40,0,1286
2007,0,35,22,30,50,269,516,285,220,131,15,0,1573
2008,37,2,12,35,145,206,295,208,256,108,0,0,1304
2009,0,4,71,16,134,73,299,278,350,67,0,0,1292
2010,0,4,0,46,100,163,174,127,109,105,3,63,894
2011,4,1,30,96,155,253,289,645,261,2,0,0,1736
2012,12,0,5,51,69,177,215,97,178,157,86,15,1062
2013,1,14,0,69,182,264,130,218,121,130,0,0,1129
2014,3,33,32,19,129,525,182,249,179,89,0,0,1440
2015,0,8,38,111,147,332,394,254,213,82,3,2,1584
2016,30,12,112,52,177,136,240,132,381,42,2,0,1316
2017,1,0,21,118,111,159,456,274,278,323,19,39,1799
2018,0,9,47,220,190,149,426,90,73,94,4,19,1321
2019,0,53,8,82,126,286,300,148,179,220,36,6,1444
2020,23,0,21,29,380,237,437,157,264,165,0,3,1716
2021,0,0,1,41,179,396,315,324,182,114,18,16,1586
2022,23,46,0,28,183,104,55,210,290,144,0,0,1083
2023,0,0,40,48,132,165,236,274,271,153,1,38,1358
2024,0,12,28,0,116,41,166,556,477,220,0,0,1616
